"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 166 77.3 56 9.3 11.5 7.3 15 "10" 24.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 154 81.3 52.5 9.5 12.5 7 14.7 "10" 27 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 161 77 52.5 8.5 11.7 7 14.5 "9.7" 26 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 164 78 54 9.5 11.7 7 15.5 "10" 24.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "M" NA 155 83 48 10 12.3 7 17 "10" 28 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA 158 76 53.7 8.7 11.5 6.7 15 "10" 24 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA 161 76 51 8.5 11.5 7 13.5 "9.3" 26.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA NA 77.5 51 9.5 11.5 7 14 "10" 27.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA 164 72 52.5 9.5 12.5 6.5 14.5 "10" 25.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza crassirostris " "Platyspiza" "crassirostris" "" "Pla.cra" "Pla.cra" "F" NA 157 78 53 9 12 7 16.5 "10" 25.5 NA
